Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG
1,D2,2009,04/04/2010,Oberhausen,Kaiserslautern,2,1
2,D2,2009,01/11/2009,Munich 1860,Kaiserslautern,0,1
3,D2,2009,04/10/2009,Frankfurt FSV,Kaiserslautern,1,1
4,D2,2009,21/02/2010,Frankfurt FSV,Karlsruhe,2,1
5,D2,2009,06/12/2009,Ahlen,Karlsruhe,1,3
6,D2,2009,03/04/2010,Union Berlin,Karlsruhe,1,1
7,D2,2009,14/08/2009,Paderborn,Karlsruhe,2,0
8,D2,2009,08/03/2010,Bielefeld,Karlsruhe,0,1
9,D2,2009,26/09/2009,Kaiserslautern,Karlsruhe,2,0
10,D2,2009,21/11/2009,Hansa Rostock,Karlsruhe,2,1
11,D2,2009,19/12/2009,Greuther Furth,Karlsruhe,1,4
12,D2,2009,16/04/2010,Koblenz,Karlsruhe,2,2
13,D2,2009,21/03/2010,Oberhausen,Karlsruhe,1,0
14,D2,2009,14/09/2009,Cottbus,Karlsruhe,2,4
15,D2,2009,02/05/2010,Duisburg,Karlsruhe,0,1
16,D2,2009,30/10/2009,Fortuna Dusseldorf,Karlsruhe,1,0
17,D2,2009,15/01/2010,Aachen,Karlsruhe,3,1
18,D2,2009,18/10/2009,Augsburg,Karlsruhe,1,1
19,D2,2009,05/02/2010,St Pauli,Karlsruhe,2,1
20,D2,2009,24/08/2009,Munich 1860,Karlsruhe,1,3
21,D1,2009,06/02/2010,Bochum,Leverkusen,1,1
22,D1,2009,22/11/2009,Bayern Munich,Leverkusen,1,1
23,D1,2009,08/05/2010,M'gladbach,Leverkusen,1,1
24,D1,2009,08/08/2009,Mainz,Leverkusen,2,2
25,D1,2009,17/10/2009,Hamburg,Leverkusen,0,0
26,D1,2009,17/04/2010,Stuttgart,Leverkusen,2,1
27,D1,2009,20/03/2010,Dortmund,Leverkusen,3,0
28,D1,2009,31/10/2009,Schalke 04,Leverkusen,2,2
29,D1,2009,22/08/2009,Freiburg,Leverkusen,0,5
30,D1,2009,21/02/2010,Werder Bremen,Leverkusen,2,2
31,D1,2009,11/12/2009,Hertha,Leverkusen,2,2
32,D1,2009,05/12/2009,Hannover,Leverkusen,0,0
33,D1,2009,03/04/2010,Ein Frankfurt,Leverkusen,3,2
34,D1,2009,12/09/2009,Wolfsburg,Leverkusen,2,3
35,D1,2009,24/01/2010,Hoffenheim,Leverkusen,0,3
36,D1,2009,26/09/2009,FC Koln,Leverkusen,0,1
37,D1,2009,07/03/2010,Nurnberg,Leverkusen,3,2
38,D1,2009,21/11/2009,Wolfsburg,Nurnberg,2,3
